Frequency (THz),Measured Reflectivity (abs),Fitted Reflectivity (abs),Real(n),Imaginary(n)
2.294921875e-11,1.1736302330841963,1.0,1477507.9294145636,-10235.925691632243
2.3046875e-11,0.41425947911502903,1.0,1471248.1982079218,-10149.374638250869
2.314453125e-11,0.11655119861001952,1.0,1465041.280474069,-10063.916682520994
2.32421875e-11,0.4645961248749108,1.0,1458886.5106850236,-9979.533495292368
2.333984375e-11,0.9390927559574379,1.0,1452783.234447438,-9896.20712997656
2.34375e-11,2.1751786680941985,1.0,1446730.808270726,-9813.920013005436
2.353515625e-11,10.565774339984165,1.0,1440728.5993409562,-9732.654934566172
2.36328125e-11,4.261971567093646,1.0,1434775.9853003544,-9652.395039603609
2.373046875e-11,2.920690239666299,1.0,1428872.3540322392,-9573.123819081195
2.3828125e-11,2.775995045469836,1.0,1423017.1034512522,-9494.825101492006
2.392578125e-11,2.954897572137116,1.0,1417209.6412987185,-9417.483044611805
2.40234375e-11,2.7008992208047253,1.0,1411449.3849429956,-9341.08212748618
2.412109375e-11,1.5469337558170724,1.0,1405735.761184673,-9265.60714264424
2.421875e-11,0.38526478472941883,1.0,1400068.2060664794,-9191.0431885316
2.431640625e-11,0.8931465013838403,1.0,1394446.16468777,-9117.375662155575
2.44140625e-11,2.834842953405634,1.0,1388869.0910234645,-9044.590251935877
2.451171875e-11,3.0839491533732124,1.0,1383336.4477473095,-8972.672930754192
2.4609375e-11,2.2418545891858273,1.0,1377847.706059349,-8901.609949196409
2.470703125e-11,1.9372704113160286,1.0,1372402.345517484,-8831.387828981424
2.48046875e-11,2.028433076921016,1.0,1366999.853873009,-8761.993356570578
2.490234375e-11,2.7645370685416757,1.0,1361639.7269100158,-8693.413576952182
2.5e-11,4.085554466052321,1.0,1356321.4682885623,-8625.635787595584
2.509765625e-11,2.2667402442793634,1.0,1351044.5893914981,-8558.647532569552
2.51953125e-11,1.687037152982568,1.0,1345808.6091748532,-8492.436596819907
2.529296875e-11,1.793429426640348,1.0,1340613.0540216893,-8426.991000601427
2.5390625e-11,2.124330516645186,1.0,1335457.457599323,-8362.29899405937
2.548828125e-11,2.480269182827346,1.0,1330341.3607198312,-8298.34905195601
2.55859375e-11,2.6875522965922762,1.0,1325264.311203747,-8235.129868537711
2.568359375e-11,2.5840527728197165,1.0,1320225.8637468675,-8172.630352538373
2.578125e-11,2.15152586081234,1.0,1315225.5797900828,-8110.83962231507
2.587890625e-11,1.4778517527865818,1.0,1310263.027392156,-8049.747001111868
2.59765625e-11,0.7455378855139939,1.0,1305337.7811053684,-7989.34201244804
2.607421875e-11,1.3837618089970514,1.0,1300449.4218539596,-7929.614375626976
2.6171875e-11,1.5911133939847628,1.0,1295597.5368152866,-7870.554001362029
2.626953125e-11,1.7576353697475733,1.0,1290781.719303635,-7812.150987516089
2.63671875e-11,2.144258896409875,1.0,1286001.5686566078,-7754.3956149512705
2.646484375e-11,2.899922086559287,1.0,1281256.6901240328,-7697.278343485634
2.65625e-11,3.997579026335,1.0,1276546.6947593153,-7640.789807953738
2.666015625e-11,4.2750574558343875,1.0,1271871.199313181,-7584.920814367976
2.67578125e-11,2.81511445146418,1.0,1267229.8261297434,-7529.662336177802
2.685546875e-11,1.4640741452611516,1.0,1262622.2030448376,-7475.005510623955
2.6953125e-11,0.9359749095803912,1.0,1258047.9632865652,-7420.94163518498
2.705078125e-11,0.8243901775960634,1.0,1253506.74537799,-7367.462164113358
2.71484375e-11,0.8878598544582126,1.0,1248998.1930419365,-7314.558705058666
2.724609375e-11,1.2002220696823207,1.0,1244521.955107831,-7262.223015775308
2.734375e-11,1.7422572852085272,1.0,1240077.6854205413,-7210.447000912387
2.744140625e-11,2.24252727636543,1.0,1235665.0427511618,-7159.222708883351
2.75390625e-11,2.3248402865105224,1.0,1231283.6907096936,-7108.54232881324
2.763671875e-11,1.8655581617579327,1.0,1226933.297659579,-7058.398187561239
2.7734375e-11,1.1436785725244294,1.0,1222613.5366340384,-7008.782746816516
2.783203125e-11,0.4931326808781733,1.0,1218324.0852541686,-6959.688600265212
2.79296875e-11,0.27790641261446536,1.0,1214064.6256487586,-6911.10847082668
2.802734375e-11,0.5224765995371802,1.0,1209834.844375782,-6863.035207956944
2.8125e-11,0.8061044165170927,1.0,1205634.4323455226,-6815.4617850176155
2.822265625e-11,1.1967464612062761,1.0,1201463.0847452977,-6768.3812967083995
2.83203125e-11,1.8921385279921652,1.0,1197320.500965737,-6721.786956561441
2.841796875e-11,3.4098695860557906,1.0,1193206.3845285808,-6675.672094495862
2.8515625e-11,3.6618625491049346,1.0,1189120.4430159624,-6630.030154430765
2.861328125e-11,2.490719800293952,1.0,1185062.3880011365,-6584.854691955196
2.87109375e-11,2.0556682775451978,1.0,1181031.9349806234,-6540.139372053457
2.880859375e-11,1.9764172777064561,1.0,1177028.8033077302,-6495.877966884279
2.890625e-11,2.099164490813325,1.0,1173052.71612742,-6452.064353612451
2.900390625e-11,2.367654366310003,1.0,1169103.4003124987,-6408.692512291433
2.91015625e-11,2.6479988589601766,1.0,1165180.5864010812,-6365.756523795614
2.919921875e-11,2.589266996548145,1.0,1161284.008535318,-6323.25056780089
2.9296875e-11,2.2116200106945394,1.0,1157413.4044013424,-6281.168920812288
2.939453125e-11,1.8018553810354316,1.0,1153568.5151704159,-6239.505954237344
2.94921875e-11,1.373995325314341,1.0,1149749.0854412434,-6198.256132504093
2.958984375e-11,0.777151722360481,1.0,1145954.8631834295,-6157.414011222413
2.96875e-11,0.8861605557898143,1.0,1142185.5996820496,-6116.974235387676
2.978515625e-11,5.23033579404388,1.0,1138441.049483313,-6076.931537625514
2.98828125e-11,2.1390406395478943,1.0,1134720.9703412896,-6037.280736476677
2.998046875e-11,1.393577412456207,1.0,1131025.1231656778,-5998.016734720936
3.0078125e-11,1.126281321818756,1.0,1127353.2719705899,-5959.134517738995
3.017578125e-11,1.0953317493335608,1.0,1123705.183824332,-5920.629151911453
3.02734375e-11,1.1471050399693496,1.0,1120080.6288001542,-5882.49578305385
3.037109375e-11,1.2823957869204294,1.0,1116479.3799279525,-5844.729634886878
3.046875e-11,1.498585421160647,1.0,1112901.2131468977,-5807.326007540858
3.056640625e-11,1.6763508494667172,1.0,1109345.9072589735,-5770.280276093573
3.06640625e-11,1.7853518710551741,1.0,1105813.2438834002,-5733.587889140683
